dataset name,old compartment,new compartment
NPK (15-15-15) fertiliser production,urban air close to ground,
"ammonia production, steam reforming, liquid",urban air close to ground,
"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",non-urban air or from high stacks,
"heat and power co-generation, natural gas, 1MW electrical, lean burn",urban air close to ground,unspecified
"activated carbon production, granular from hard coal",urban air close to ground,unspecified
"soda production, solvay process",urban air close to ground,unspecified
"heat production, natural gas, at industrial furnace low-NOx >100kW",urban air close to ground,unspecified
"zinc coating, coils",unspecified,
"clay brick production, extruded",unspecified,
zucchini production,non-urban air or from high stacks,
"diesel, burned in heavy-duty vehicle",,urban air close to ground
"platinum group metal, extraction and refinery operations",,non-urban air or from high stacks
"clinker production",,non-urban air or from high stacks
"steel production, electric, low-alloyed",,non-urban air or from high stacks
