dataset name,old compartment,new compartment
treatment of copper cake,non-urban air or from high stacks,
"iron ore mine operation, 63% Fe",non-urban air or from high stacks,
structural timber production,unspecified,
treatment of copper scrap by electrolytic refining,non-urban air or from high stacks,
"hydropower plant construction, run-of-river",non-urban air or from high stacks,
"biodiesel, from non-residual oily biomass, burned in single deck coach or urban bus",urban air close to ground,
"heat and power co-generation, natural gas, conventional power plant, 100MW electrical",non-urban air or from high stacks,
NPK (15-15-15) fertiliser production,urban air close to ground,
"ammonia production, steam reforming, liquid",urban air close to ground,
"heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",non-urban air or from high stacks,
"heat and power co-generation, natural gas, 1MW electrical, lean burn",urban air close to ground,unspecified
"activated carbon production, granular from hard coal",urban air close to ground,unspecified
"soda production, solvay process",urban air close to ground,unspecified
"heat production, natural gas, at industrial furnace low-NOx >100kW",urban air close to ground,unspecified
"zinc coating, coils",unspecified,
"clay brick production, extruded",unspecified,
zucchini production,non-urban air or from high stacks,
"diesel, burned in heavy-duty vehicle",,urban air close to ground
"platinum group metal, extraction and refinery operations",,non-urban air or from high stacks
clinker production,,non-urban air or from high stacks
"steel production, electric, low-alloyed",,non-urban air or from high stacks
"compressed gas, burned in passenger car",urban air close to ground,
"carbon fiber production, exhaust gas treatment 2",unspecified,
selective catalytic reduction of nitrogen oxides,non-urban air or from high stacks,
"diesel, synthetic, burned in passenger train",unspecified,
"heat production, at coal coke industrial furnace 1-10MW",urban air close to ground,non-urban air or from high stacks
"acrylonitrile production, Sohio process",urban air close to ground,non-urban air or from high stacks
"heat production, heavy fuel oil, at industrial furnace 1MW",urban air close to ground,non-urban air or from high stacks
"treatment of waste reinforced concrete, collection for final disposal",urban air close to ground,non-urban air or from high stacks
"treatment of municipal solid waste, open burning",urban air close to ground,unspecified
"treatment of waste reinforced concrete, recycling",urban air close to ground,
"transport, freight, light commercial vehicle",unspecified,
carbon black production,urban air close to ground,
"petroleum coke production, petroleum refinery operation",unspecified,non-urban air or from high stacks
"naphtha production, petroleum refinery operation",unspecified,non-urban air or from high stacks
"pitch production, petroleum refinery operation",unspecified,non-urban air or from high stacks
"coke production, wet quenching",non-urban air or from high stacks,
pig iron production,unspecified,non-urban air or from high stacks
"treatment of used Li-ion battery, pyrometallurgical treatment",urban air close to ground,non-urban air or from high stacks
"compressed gas, synthetic, burned in passenger car",urban air close to ground,
"excavation, hydraulic digger",unspecified,
hard coal mine operation,non-urban air or from high stacks,
"treatment of waste reinforced concrete, sorting plant",urban air close to ground,non-urban air or from high stacks
glued solid timber production,unspecified,
magnesium oxide production,urban air close to ground,non-urban air or from high stacks
"transport, freight train, steam",unspecified,
"electricity production, hard coal",non-urban air or from high stacks,
"synthetic fuel production, from coal, high temperature Fisher-Tropsch operations",non-urban air or from high stacks,
"transport, freight, sea, container ship, powered with biodiesel",unspecified,non-urban air or from high stacks
"heat, residential, by combustion of light fuel oil, from cellulosic non-residual biomass, using boiler",urban air close to ground,
"aluminium production, primary, liquid, Söderberg",unspecified,non-urban air or from high stacks
urea production,urban air close to ground,non-urban air or from high stacks
"transport, freight, inland waterways, barge",non-urban air or from high stacks,
"treatment of road wear emissions, lorry",unspecified,
"quicklime production, in pieces, loose",non-urban air or from high stacks,
"biodiesel, from residual oily biomass, burned in single deck coach or urban bus",urban air close to ground,
"water pump operation, diesel",unspecified,
"steel production, electric, chromium steel 18/8",unspecified,non-urban air or from high stacks
ceramic tile production,unspecified,
municipal waste collection service by 21 metric ton lorry,urban air close to ground,
"unsaturated hydrocarbons production, steam cracking operation, average",unspecified,
monoammonium phosphate production,urban air close to ground,
"biodiesel, from non-residual cellulosic biomass, burned in passenger train",unspecified,
"glued laminated timber production, average glue mix",unspecified,
silicon carbide production,urban air close to ground,non-urban air or from high stacks
biogas purification to biomethane by amino washing,urban air close to ground,non-urban air or from high stacks
ammonium nitrate phosphate production,urban air close to ground,non-urban air or from high stacks
"tube insulation production, elastomere",urban air close to ground,non-urban air or from high stacks
"petrol, synthetic, burned in motorcycle",urban air close to ground,
"electricity production, lignite",non-urban air or from high stacks,
"electricity production, at biomass-fired IGCC power plant",unspecified,non-urban air or from high stacks
"biodiesel, from non-residual cellulosic biomass, burned in single deck coach or urban bus",urban air close to ground,
tetrachloroethylene production,urban air close to ground,non-urban air or from high stacks
"photovoltaic cell production, multi-Si wafer",urban air close to ground,non-urban air or from high stacks
"biodiesel, from non-residual cellulosic biomass, burned in heavy-duty vehicle",urban air close to ground,
"lithium carbonate production, from spodumene",urban air close to ground,non-urban air or from high stacks
