name,reference product,CPC,interventionpaper
"market for insulated gate bipolar transistor, electric vehicle application","insulated gate bipolar transistor, electric vehicle application","47150: Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]",machinery and equipment
"polyurethane production, flexible foam, TDI-based, low density","polyurethane, flexible foam","34740: Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]",chemicals and plastics
"maintenance, micro gas turbine, 100kW electrical","maintenance, micro gas turbine, 100kW electrical",87152: Maintenance and repair services of electrical machinery and apparatus n.e.c.,other services
triple superphosphate production,triple superphosphate,34621: Superphosphate,chemicals and plastics
"barley grain production, organic","straw, organic","01913: Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",agricultural biomass
"evaporation of natural gas, import from QA","natural gas, high pressure","12020: Natural gas, liquefied or in the gaseous state",fossil fuel extraction
"zeolite production, slurry, without water, in 50% solution state","zeolite, slurry, without water, in 50% solution state",35322: Detergents and washing preparations,chemicals and plastics
"mine construction, open cast, steatite","mine infrastructure, steatite",53261: Mining constructions,construction
market for fosetyl-Al,fosetyl-Al,34662: Fungicides,chemicals and plastics
"electricity production, hydro, reservoir, non-alpine region","electricity, high voltage",17100: Electrical energy,electricity production
"laser machining, metal, with YAG-laser, 50W power","laser machining, metal, with YAG-laser, 50W power",88731: Metal treatment and coating services,other services
"market for calcium carbonate, precipitated","calcium carbonate, precipitated",34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
electricity voltage transformation from high to medium voltage,"electricity, medium voltage",17100: Electrical energy,electricity production
"silicon production, metallurgical grade","silicon, metallurgical grade",34250: Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…],chemicals and plastics
"hydropower plant construction, reservoir, non-alpine regions","hydropower plant, reservoir, non-alpine regions",53262: Power plants,construction
"industrial furnace production, coal, 1-10MW","industrial furnace, coal, 1-10MW","43420: Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]",machinery and equipment
blasting,blasting,54320: Site formation and clearance services,construction
"sawing, softwood","slab and siding, softwood, wet, measured as dry mass","31600: Builders' joinery and carpentry of wood (including cellular wood panels, assembled parquet panels, shingles an[…]",forest biomass
"polyethylene terephthalate production, granulate, amorphous, recycled","polyethylene terephthalate, granulate, amorphous, recycled","34710: Polymers of ethylene, in primary forms",chemicals and plastics
"heat and power co-generation, wood chips, 2000 kW","electricity, high voltage",17100: Electrical energy,electricity production
sanitary landfill facility construction,sanitary landfill facility,53290: Other civil engineering works,construction
"market for receiver system, solar tower power plant, 20 MW","receiver system, solar tower power plant, 20 MW",53262: Power plants,construction
"transport, freight, lorry 16-32 metric ton, EURO5","transport, freight, lorry 16-32 metric ton, EURO5",6511: Road transport services of freight,road transport
"land already in use, perennial cropland to annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop","91131: Public administrative services related to agriculture, forestry, fishing and hunting",other services
"land use change, perennial crop","land use change, perennial crop",83222: Rural land planning services,other services
"market for soda ash, light","soda ash, light",34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
"market for fluosilicic acid, without water, in 22% solution state","fluosilicic acid, without water, in 22% solution state","34270: Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",chemicals and plastics
"inverter production, 500kW","inverter, 500kW",46220: Parts of electricity distribution or control apparatus,machinery and equipment
"market for inorganic potassium fertiliser, as K2O","inorganic potassium fertiliser, as K2O","3463: Mineral or chemical fertilizers, potassic",chemicals and plastics
"market for concrete, 25MPa","concrete, 25MPa",37510: Non-refractory mortars and concretes,other products
market for mango,mango,"01316: Mangoes, guavas and mangosteens",agricultural biomass
