name,reference product,CPC,interventionpaper
"market for housing system, cattle, loose, per animal unit","housing system, cattle, loose, per animal unit",53269: Other constructions for manufacturing,construction
market for palm kernel meal,palm kernel meal,23319: Preparations used in animal feeding n.e.c.,agricultural biomass
market for ultrafiltration module,ultrafiltration module,"43914: Filtering or purifying machinery and apparatus, for liquids or gases, except oil filters, petrol filters and a[…]",machinery and equipment
market for pulverised lignite,pulverised lignite,11040: Brown coal briquettes and similar solid fuels manufactured from brown coal,fossil fuel extraction
lime to generic market for soil pH raising agent,"soil pH raising agent, as CaCO3",34659: Fertilizers n.e.c.,chemicals and plastics
"BTX production, from reformate, average",raffinate,3337: Fuel oils n.e.c.,oil and gas products
"extrusion, plastic pipes","extrusion, plastic pipes","89200: Moulding, pressing, stamping, extruding and similar plastic manufacturing services",other services
market for barge tanker,barge tanker,49314: Other vessels for the transport of goods and other vessels for the transport of both persons and goods,machinery and equipment
"epoxy resin production, liquid","epoxy resin, liquid","34740: Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]",chemicals and plastics
market for helium,helium,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
market for beverage carton converting,beverage carton converting,"32153: Cartons, boxes, cases, record sleeves and other packing containers (except bags) of paper, paperboard, cellulo[…]",pulp and paper
"sheet rolling, aluminium","sheet rolling, aluminium",88602: Basic precious and other non-ferrous metal manufacturing services,other services
"ventilation control and wiring production, central unit","ventilation control and wiring, central unit","44831: Parts of the following appliances: electromechanical domestic appliances, shavers and hairclippers, with self-[…]",machinery and equipment
"market for fibre, flax, short, scutched","fibre, flax, short, scutched","26190: Other vegetable textile fibres, processed but not spun; tow and waste of these fibres",textiles
market for lithium chloride,lithium chloride,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
magnesium sulfate production,magnesium sulfate,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),mining and basic metals
dimethenamide production,dimethenamide,"34663: Herbicides, anti-sprouting products and plant-growth regulators",chemicals and plastics
"nutrient supply from phosphoric acid, fertiliser grade, without water, in 70% solution state","inorganic phosphorus fertiliser, as P2O5","3462: Mineral or chemical fertilizers, phosphatic",chemicals and plastics
market for glass from used cathode ray tube,glass from used cathode ray tube,"37111: Glass in the mass, in balls (except microspheres), rods or tubes, unworked; waste and scrap of glass",other products
"market for heat and power co-generation unit, 200kW electrical, components for electricity only","heat and power co-generation unit, 200kW electrical, components for electricity only","46131: Parts of electric motors, generators and the like",machinery and equipment
mecoprop production,mecoprop,"34663: Herbicides, anti-sprouting products and plant-growth regulators",chemicals and plastics
"impact extrusion of aluminium, cold, tempering","impact extrusion of aluminium, cold, tempering","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
"transport, passenger car, large size, diesel, EURO 5","transport, passenger car, large size, diesel, EURO 5","64119: Other land transportation services of passengers, n.e.c.",road transport
1-propanol production,1-propanol,"34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",chemicals and plastics
"market for uranium, enriched 3.0%, per separative work unit","uranium, enriched 3.0%, per separative work unit","33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]",nuclear fuel products
"polyethylene production, high density, granulate","polyethylene, high density, granulate","34710: Polymers of ethylene, in primary forms",chemicals and plastics
"asbestos production, chrysotile type","asbestos, chrysotile type",16390: Other minerals n.e.c.,minerals
"tuna, capture by purse seiner and landing whole, frozen","landed tuna, frozen, EPO","21215: Tunas, skipjack or stripe-bellied bonito, frozen",agricultural biomass
zinc mine operation,"copper concentrate, sulfide ore",14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates),mining and basic metals
"concrete production, 25MPa, for building construction, with cement, CP-II-E","concrete, 25MPa",37510: Non-refractory mortars and concretes,other products
"natural gas, high pressure, import from FI","natural gas, high pressure","12020: Natural gas, liquefied or in the gaseous state",fossil fuel extraction
acetylene production,acetylene,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
"sawlog and veneer log, softwood, measured as solid wood under bark, import from Europe without Switzerland","sawlog and veneer log, softwood, measured as solid wood under bark","3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]",forest biomass
"transport, freight, inland waterways, barge tanker","transport, freight, inland waterways, barge tanker",65222: Inland water transport services of freight by tankers,shipping transport
"market for unreinforced concrete, 15MPa","unreinforced concrete, 15MPa","37540: Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",other products
"market for electricity, medium voltage, renewable energy products","electricity, medium voltage, renewable energy products",17100: Electrical energy,electricity production
"transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO5, carbon dioxide, liquid refrigerant, cooling","transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO5, carbon dioxide, liquid refrigerant, cooling",65111: Road transport services of freight by refrigerator vehicles,road transport
sodium fluoride production,sodium fluoride,34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
"market for absorption chiller, 100kW","absorption chiller, 100kW","43913: Refrigerating and freezing equipment and heat pumps, except household type equipment",machinery and equipment
"market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","33710: Fuel elements (cartridges), non-irradiated, for nuclear reactors",nuclear fuel products
"greenhouse construction, plastic walls and roof, metal tubes","greenhouse, plastic walls and roof","38703: Prefabricated buildings, of plastics",other products
"ventilation of dwellings, central, 1 x 720 m3/h, steel ducts, with earth tube heat exchanger","ventilation of dwellings, central, 1 x 720 m3/h",44815: Fans and ventilating or recycling hoods of the domestic type,machinery and equipment
"market for steel, low-alloyed","steel, low-alloyed",41122: Alloy steel in ingots or other primary forms and semi-finished products of alloy steel,mining and basic metals
"market for particleboard, cement bonded","particleboard, cement bonded",31431: Particle board,forest biomass
"market for packaging film, low density polyethylene","packaging film, low density polyethylene","36330: Plates, sheets, film, foil and strip, of plastics, not self-adhesive, non-cellular and not reinforced, laminat[…]",chemicals and plastics
milk spray-drying,spray-drying of milk,88150: Dairy product manufacturing services,other services
"basic oxygen furnace sludge, for recovery to generic market for supplementary cementitious materials",supplementary cementitious materials,"15200: Gypsum; anhydrite; limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of[…]",minerals
market for iron sulfate,iron sulfate,34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
"field leveling, sugarcane","field leveling, sugarcane",86119: Other support services to crop production,agricultural biomass
market for sodium cumenesulphonate,sodium cumenesulphonate,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
grape production,grape,01330: Grapes,agricultural biomass
market for manganese sulfate,manganese sulfate,34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
"market for building operation, budget hotel","building operation, budget hotel","63114: Accommodation services for visitors, in rooms for multiple occupancy",other services
"water works construction, capacity 1.1E10l/year, conventional treatment","water works, capacity 1.1E10l/year",53253: Sewage and water treatment plants,construction
"transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspecified","transport, freight, lorry, unspecified",6511: Road transport services of freight,road transport
"transport, freight, lorry 16-32 metric ton, EURO6","transport, freight, lorry 16-32 metric ton, EURO6",6511: Road transport services of freight,road transport
"rye grain, feed production, Swiss integrated production","rye grain, feed, Swiss integrated production",23319: Preparations used in animal feeding n.e.c.,agricultural biomass
"tomato production, processing grade, open field","tomato, processing grade",01234: Tomatoes,agricultural biomass
market for lithium,lithium,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
market for manganese(III) oxide,manganese(III) oxide,34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…],chemicals and plastics
"market for transport, freight, inland waterways, barge","transport, freight, inland waterways, barge",65229: Other inland water transport services of freight,shipping transport
"compressed air production, 600 kPa gauge, >30kW, best generation","compressed air, 600 kPa gauge",34250: Salts of oxometallic or peroxometallic acids; colloidal precious metals and compounds thereof; inorganic and o[…],chemicals and plastics
"planing, lath, softwood, u=20%","sawnwood, lath, softwood, dried (u=20%), planed","31101: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ",forest biomass
market for phenyl acetic acid,phenyl acetic acid,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
market for scandium oxide,scandium oxide,"34290: Compounds of rare earth metals, of yttrium or of scandium",chemicals and plastics
"mine construction, open cast, ilmenite from hard-rock ore","mine infrastructure, open cast, ilmenite from hard-rock ore",53261: Mining constructions,construction
petrol blending for two-stroke engines,"petrol, two-stroke blend",33311: Motor gasoline,oil and gas products
"market for ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts","ventilation system, decentralized, 6 x 120 m3/h, polyethylene ducts",44815: Fans and ventilating or recycling hoods of the domestic type,machinery and equipment
"unsaturated hydrocarbons production, steam cracking operation, average","butadiene, crude","3411: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
"deep drawing, steel, 650 kN press, automode","deep drawing, steel, 650 kN press, automode","89330: Metal forging, pressing, stamping, roll forming and powder metallurgy services",other services
"textile production, nonwoven polypropylene, spunbond","textile, nonwoven polypropylene","26710: Woven fabrics of man-made filament yarn, obtained from high tenacity yarn of nylon or other polyamides, of pol[…]",textiles
"market for anaerobic digestion plant, for biowaste","anaerobic digestion plant, for biowaste",53290: Other civil engineering works,construction
"fuel cell production, stack solid oxide, 125kW electrical, future","fuel cell, stack solid oxide, 125kW electrical, future",46410: Primary cells and primary batteries,machinery and equipment
"air compressor production, screw-type compressor, 4kW","air compressor, screw-type compressor, 4kW",43230: Air or vacuum pumps; air or other gas compressors,machinery and equipment
ethylene bromide production,ethylene bromide,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
"fan production, for power supply unit, desktop computer","fan, for power supply unit, desktop computer","46132: Parts of electrical transformers, static converters and inductors",machinery and equipment
"market for sawnwood, hardwood, dried (u=20%), planed","sawnwood, hardwood, dried (u=20%), planed","31102: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",forest biomass
"treatment of sewage sludge, 75% water, WWT, WW from glass production, sanitary landfill","electricity, medium voltage",17100: Electrical energy,electricity production
market for broccoli,broccoli,01213: Cauliflowers and broccoli,agricultural biomass
"soda ash production, dense, Hou's process","soda ash, dense",34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
"potassium nitrate production, industrial grade","potassium nitrate, industrial grade","34280: Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides",chemicals and plastics
sand to generic market for inert filler,inert filler,37410: Plasters,other products
"green manure growing, Swiss integrated production, until January","green manure, Swiss integrated production, until January",34659: Fertilizers n.e.c.,chemicals and plastics
"ethylene oxide production, ethylene oxidation",ethylene oxide,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
market for cyclic N-compound,cyclic N-compound,"3461: Mineral or chemical fertilizers, nitrogenous",chemicals and plastics
cork slab production,cork slab,"31921: Natural cork, debacked or roughly squared, or in blocks, plates, sheets or strip; crushed, granulated or groun[…]",forest biomass
p-nitrophenol production,p-nitrophenol,"34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",chemicals and plastics
"resorcinol production, hydroperoxidation of meta-diisopropylbenzene","acetone, liquid","34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
"market for harvesting, sugarcane","harvesting, sugarcane",86119: Other support services to crop production,agricultural biomass
market for palm fruit bunch,palm fruit bunch,01491: Palm nuts and kernels,agricultural biomass
"market for anode, silicon coated graphite, for Li-ion battery","anode, silicon coated graphite, for Li-ion battery","46950: Carbon electrodes, carbon brushes, lamp carbons, battery carbons and other articles of graphite or other carbo[…]",machinery and equipment
"market for maize grain, Swiss integrated production","maize grain, Swiss integrated production","01122: Maize (corn), other",agricultural biomass
"market for power saw, without catalytic converter","power saw, without catalytic converter",88768: Power-driven hand tool manufacturing services,other services
"peanut seed production, for sowing","peanut seed, for sowing",86112: Seed processing services,agricultural biomass
"fibre production, cotton, ginning",cottonseed,0143: Cottonseed,agricultural biomass
"venting of nitrogen, liquid","venting of nitrogen, liquid",94339: Other non-hazardous waste treatment and disposal services,other services
"market for assembly of generator and motor, auxilliaries and energy use, heat and power co-generation unit, 160kW","assembly of generator and motor, auxilliaries and energy use, heat and power co-generation unit, 160kW electrical",88761: Engines and turbine manufacturing services,other services
"market for transport, freight, aircraft, long haul","transport, freight, aircraft, long haul",6531: Air transport services of freight,aviation
"market for packaging glass, white","packaging glass, white","37191: Bottles, jars, phials and other containers, of glass, of a kind used for the conveyance or packing of goods, e[…]",other products
"electricity, high voltage, import from EE","electricity, high voltage",17100: Electrical energy,electricity production
market for cyclohexane,cyclohexane,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
manual dismantling of used electric passenger car,manual dismantling of used electric passenger car,"894: Materials recovery (recycling) services, on a fee or contract basis",other services
"polyurethane production, flexible foam, TDI-based, high density","polyurethane, flexible foam","34740: Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]",chemicals and plastics
market for sowing,sowing,86119: Other support services to crop production,agricultural biomass
"transport, passenger car, large size, petrol, EURO 3","transport, passenger car, large size, petrol, EURO 3","64119: Other land transportation services of passengers, n.e.c.",road transport
"market for laser machining, metal, with YAG-laser, 120W power","laser machining, metal, with YAG-laser, 120W power",88731: Metal treatment and coating services,other services
"uranium production, diffusion, enriched 4.2%","uranium, enriched 4.2%, per separative work unit","33620: Uranium enriched in U235 and its compounds; plutonium and its compounds; alloys, dispersions, ceramic products[…]",nuclear fuel products
"treatment of non-Fe-Co-metals, from used Li-ion battery, hydrometallurgical processing",manganese,"41603: Bismuth, antimony, manganese, chromium and articles thereof; including waste and scrap of bismuth or manganese",mining and basic metals
"evaporation of natural gas, import from ID","natural gas, high pressure","12020: Natural gas, liquefied or in the gaseous state",fossil fuel extraction
"market for 1,1-dimethylcyclopentane","1,1-dimethylcyclopentane","34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
"spiral-seam duct production, steel, DN 125","spiral-seam duct, steel, DN 125","41283: Other tubes and pipes, of circular cross-section, seamless",mining and basic metals
"market for wood chips, wet, measured as dry mass","wood chips, wet, measured as dry mass",31230: Wood in chips or particles,forest biomass
molybdenum trioxide production,molybdenum trioxide,"41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]",mining and basic metals
"market for ilmenite, 54% titanium dioxide","ilmenite, 54% titanium dioxide",34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…],chemicals and plastics
"high voltage system production, for Li-ion battery","high voltage system, for Li-ion battery","46430: Parts of primary cells, primary batteries and electric accumulators (including separators)",machinery and equipment
"clay brick production, moulded",clay brick,"37310: Bricks, blocks, tiles and other ceramic goods of siliceous earths",other products
"market for transport, freight, lorry 16-32 metric ton, EURO5","transport, freight, lorry 16-32 metric ton, EURO5",6511: Road transport services of freight,road transport
"router, internet","router, internet","47223: Other telephone sets and apparatus for transmission or reception of voice, images or other data, including app[…]",machinery and equipment
"transistor production, wired, small size, through-hole mounting","transistor, wired, small size, through-hole mounting","47150: Diodes, transistors and similar semi-conductor devices; photosensitive semi-conductor devices; light emitting […]",machinery and equipment
"control cabinet production, heat and power co-generation unit, 160kW electrical","control cabinet, heat and power co-generation unit, 160kW electrical",43430: Parts for the goods of subclasses 43410 and 43420; parts of non-electric bakery ovens,machinery and equipment
"market for ethanol, without water, in 99.7% solution state, from ethylene","ethanol, without water, in 99.7% solution state, from ethylene","34131: Ethyl alcohol and other spirits, denatured, of any strength",chemicals and plastics
market for chloroacetic acid,chloroacetic acid,34120: Industrial monocarboxylic fatty acids; acid oils from refining,chemicals and plastics
"nutrient supply from vinasse, from fermentation of sugar beet molasses","organic phosphorus fertiliser, as P2O5",34659: Fertilizers n.e.c.,chemicals and plastics
"market for yarn, jute","yarn, jute","26380: Yarn of vegetable textile fibres other than cotton (including flax, jute, coir and true hemp); paper yarn",textiles
"laser machining, metal, with CO2-laser, 4000W power","laser machining, metal, with CO2-laser, 4000W power",88731: Metal treatment and coating services,other services
"copper production, cathode, solvent extraction and electrowinning process",sulfuric acid,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
"lightweight concrete block production, expanded clay","lightweight concrete block, expanded clay","37540: Tiles, flagstones, bricks and similar articles, of cement, concrete or artificial stone",other products
market for hydrazine sulfate,hydrazine sulfate,"34231: Chemical elements n.e.c.; inorganic acids except phosphoric, nitric and sulphonitric; inorganic oxygen compoun[…]",chemicals and plastics
sodium persulfate production,sodium persulfate,34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
"strawberry seedling production, in unheated greenhouse, for planting","strawberry seedling, for planting","01961: Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn",agricultural biomass
"treatment of sewage sludge, 97% water, WWT, rainwater mineral oil storage, landfarming","organic potassium fertiliser, as K2O",34659: Fertilizers n.e.c.,chemicals and plastics
market for sodium tetrafluoroborate,sodium tetrafluoroborate,"34270: Cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyanates; silicates; borates; perb[…]",chemicals and plastics
"concrete production, 50MPa, with cement, Portland","concrete, 50MPa",37510: Non-refractory mortars and concretes,other products
"controller production, for electric scooter","controller, for electric scooter",49941: Parts and accessories of motorcycles and side-cars,machinery and equipment
"electric connector production, wire clamp","electric connector, wire clamp",46220: Parts of electricity distribution or control apparatus,machinery and equipment
"market for blower and heat exchange unit, Twl-700","blower and heat exchange unit, Twl-700",43911: Producer gas or water gas generators; acetylene gas generators and similar water process gas generators; disti[…],machinery and equipment
market for isophthalic acid based unsaturated polyester resin,isophthalic acid based unsaturated polyester resin,"34740: Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]",chemicals and plastics
"market for polystyrene, general purpose","polystyrene, general purpose","34720: Polymers of styrene, in primary forms",chemicals and plastics
market for 1-propanol,1-propanol,"34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",chemicals and plastics
"furnace production, wood chips, with silo, 5000kW","furnace, wood chips, with silo, 5000kW","43420: Industrial or laboratory furnaces and ovens, except non-electric bakery ovens; other industrial or laboratory […]",machinery and equipment
"treatment of sewage sludge, 97% water, WWT, WW from ceramic production, landfarming","organic nitrogen fertiliser, as N",34659: Fertilizers n.e.c.,chemicals and plastics
swine production,"swine for slaughtering, live weight",02140: Swine / pigs,agricultural biomass
"electricity, high voltage, import from TG","electricity, high voltage",17100: Electrical energy,electricity production
"containerboard production, linerboard, kraftliner",turpentine,34400: Activated natural mineral products; animal black; tall oil; terpenic oils produced by the treatment of conifer[…],chemicals and plastics
"market group for concrete, normal strength","concrete, normal strength",37510: Non-refractory mortars and concretes,other products
horticultural fleece production,horticultural fleece,"36920: Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics",chemicals and plastics
"market for wood preservative, water-based, indoor use, dry","wood preservative, water-based, indoor use, dry",35110: Paints and varnishes and related products,chemicals and plastics
"hardwood forestry, azobe, sustainable forest management","sawlog and veneer log, azobe, measured as solid wood under bark",03120: Logs of non-coniferous wood,forest biomass
"diesel, burned in fishing vessel","diesel, burned in fishing vessel",33370: Fuel oils n.e.c.,oil and gas products
"sawlog and veneer log, meranti, debarked, measured as solid wood, import from MY","sawlog and veneer log, meranti, debarked, measured as solid wood","3110: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm; railway or tramway sleepers […]",forest biomass
"market for transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, carbon dioxide, liquid refrig(...)_8","transport, freight, lorry with refrigeration machine, 7.5-16 ton, EURO5, carbon dioxide, liquid refrigerant, cooling",65111: Road transport services of freight by refrigerator vehicles,road transport
"textile production, cotton, circular knitting","textile, knit cotton",28190: Other knitted or crocheted fabrics,textiles
dioxane production,dioxane,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
"lath, hardwood, raw, air drying to u=20%","sawnwood, lath, hardwood, raw, dried (u=20%)","31102: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of non-coniferous wood ",forest biomass
"market for organic potassium fertiliser, as K2O","organic potassium fertiliser, as K2O",34659: Fertilizers n.e.c.,chemicals and plastics
market for acetanilide,acetanilide,"34150: Amine-function compounds; oxygen-function amino-compounds, except lysine and its esters and salts thereof and […]",chemicals and plastics
"market for beet seed, Swiss integrated production, for sowing","beet seed, Swiss integrated production, for sowing",01803: Sugar beet seeds,agricultural biomass
"transport, passenger car, medium size, diesel, EURO 4","transport, passenger car, medium size, diesel, EURO 4","64119: Other land transportation services of passengers, n.e.c.",road transport
boron carbide production,boron carbide,"34280: Hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides and borides",chemicals and plastics
"treatment of sewage sludge, 97% water, WWT, WW from GGBFS production, landfarming","organic nitrogen fertiliser, as N",34659: Fertilizers n.e.c.,chemicals and plastics
"market for seed-cotton, organic","seed-cotton, organic","01921: Cotton, whether or not ginned",agricultural biomass
samarium europium gadolinium concentrate to generic market for mischmetal,mischmetal,"34290: Compounds of rare earth metals, of yttrium or of scandium",chemicals and plastics
"power saw production, without catalytic converter","power saw, without catalytic converter",88768: Power-driven hand tool manufacturing services,other services
"market for wheat seed, organic, for sowing","wheat seed, organic, for sowing","01111: Wheat, seed",agricultural biomass
"printed wiring board production, mounted mainboard, laptop computer, Pb free","printed wiring board, mounted mainboard, laptop computer, Pb free",47160: Electronic integrated circuits,machinery and equipment
"treatment of sewage sludge, 97% water, WWT, WW from PV cell production, landfarming","organic nitrogen fertiliser, as N",34659: Fertilizers n.e.c.,chemicals and plastics
market for uranium conversion facility,uranium conversion facility,53269: Other constructions for manufacturing,construction
market for disodium disulphite,disodium disulphite,34240: Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.,chemicals and plastics
"wood preservative production, water-based, indoor use, occasionally wet","wood preservative, water-based, indoor use, occasionally wet",35110: Paints and varnishes and related products,chemicals and plastics
"market for transport, pipeline, offshore, long distance, natural gas","transport, pipeline, offshore, long distance, natural gas",65131: Transport services via pipeline of petroleum and natural gas,distribution
"catch crop growing, ryegrass, September-April, organic fertiliser 60 kg N, one cut",ryegrass silage,"01919: Forage products, n.e.c.",agricultural biomass
cobalt production,cobalt,"41601: Tungsten, molybdenum, tantalum, magnesium, cobalt, cadmium, titanium, zirconium, beryllium, gallium, hafnium, […]",mining and basic metals
"market for wind turbine network connection, 750kW, onshore","wind turbine network connection, 750kW, onshore","46211: Electrical apparatus for switching or protecting electrical circuits, or for making connexions to or in electr[…]",machinery and equipment
"transport, tractor and trailer, agricultural","transport, tractor and trailer, agricultural",86119: Other support services to crop production,agricultural biomass
market for solvent for chromatography analysis,solvent for chromatography analysis,"34139: Other alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivativ[…]",chemicals and plastics
"market for electrolyte, for Li-ion battery","electrolyte, for Li-ion battery",35470: Chemical elements and compounds doped for use in electronics,chemicals and plastics
"market for onion seedling, for planting","onion seedling, for planting","01961: Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn",agricultural biomass
manual dismantling of used passenger car with internal combustion engine,manual dismantling of used passenger car with internal combustion engine,"894: Materials recovery (recycling) services, on a fee or contract basis",other services
"polyethylene terephthalate, granulate, bottle grade, recycled to generic market for bottle grade PET granulate","polyethylene terephthalate, granulate, bottle grade","34710: Polymers of ethylene, in primary forms",chemicals and plastics
"treatment of sewage sludge, 97% water, WWT-SLF, waste paperboard, landfarming","organic nitrogen fertiliser, as N",34659: Fertilizers n.e.c.,chemicals and plastics
market for air separation facility,air separation facility,53269: Other constructions for manufacturing,construction
"maize silage production, Swiss integrated production, intensive","maize silage, Swiss integrated production",01911: Maize for forage and silage,agricultural biomass
stearic acid production,stearic acid,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]",chemicals and plastics
"market for sawnwood, softwood, raw, dried (u=20%)","sawnwood, softwood, raw, dried (u=20%)","31101: Wood, sawn or chipped lengthwise, sliced or peeled, of a thickness exceeding 6 mm, of coniferous wood ",forest biomass
"market for cement, Portland SR3","cement, Portland SR3","37440: Portland cement, aluminous cement, slag cement and similar hydraulic cements, except in the form of clinkers",other products
"NCA oxide production, for Li-ion battery",NCA oxide,34220: Zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iron oxides and hydroxides; earth[…],chemicals and plastics
"market for door, inner, glass-wood","door, inner, glass-wood","31600: Builders' joinery and carpentry of wood (including cellular wood panels, assembled parquet panels, shingles an[…]",forest biomass
"market for organic phosphorus fertiliser, as P2O5","organic phosphorus fertiliser, as P2O5",34659: Fertilizers n.e.c.,chemicals and plastics
"catalytic converter production, three-way, 19.1l","catalytic converter, three-way, 19.1l",46910: Electrical ignition or starting equipment of a kind used for internal combustion engines; generators and cut-o[…],machinery and equipment
market for sugar beet pulp,sugar beet pulp,23319: Preparations used in animal feeding n.e.c.,agricultural biomass
"transport, freight, lorry 3.5-7.5 metric ton, EURO6","transport, freight, lorry 3.5-7.5 metric ton, EURO6",6511: Road transport services of freight,road transport
"maize grain, feed to generic market for energy feed","protein feed, 100% crude",23319: Preparations used in animal feeding n.e.c.,agricultural biomass
natural gas liquids fractionation,ethane,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
"market for aluminium oxide, metallurgical","aluminium oxide, metallurgical","41432: Alumina (aluminium oxide), except artificial corundum",mining and basic metals
"treatment of residue from mechanical treatment, IT accessory, municipal incineration FAE","electricity, for reuse in municipal waste incineration only",17100: Electrical energy,electricity production
"market for operation, liquid manure storage and processing facility","operation, liquid manure storage and processing facility",8612: Animal husbandry services,agricultural biomass
market for 1-methoxy-2-propanol,1-methoxy-2-propanol,"34170: Ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, and their halogenated, sulphona[…]",chemicals and plastics
hot water tank factory construction,hot water tank factory,53269: Other constructions for manufacturing,construction
"long liner maintenance, steel","long liner maintenance, steel",87149: Maintenance and repair services of other transport equipment,other services
"pointing device production, optical mouse, with cable","pointing device, optical mouse, with cable","45261: Input peripherals (keyboard, joystick, mouse etc.)",machinery and equipment
market for 6-benzyladenine,6-benzyladenine,"34663: Herbicides, anti-sprouting products and plant-growth regulators",chemicals and plastics
"weaned calves production on native and planted pasture, Pantanal","weaned calves, live weight",02111: Cattle,agricultural biomass
refrigerant R134a production,refrigerant R134a,"34110: Hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivatives",chemicals and plastics
